date, pm25, pm10, no2
2022/8/15, 55, , 3
2022/8/16, 60, , 6
2022/8/17, 66, , 8
2022/8/18, 66, , 9
2022/8/19, 68, , 7
2022/8/20, 76, , 10
2022/8/21, 72, , 6
2022/8/22, 64, , 11
2022/8/23, 74, , 10
2022/8/24, 84, , 12
2022/8/25, 79, , 15
2022/8/26, 86, , 16
2022/8/27, 90, , 16
2022/8/28, 96, , 10
2022/8/29, 82, , 15
2022/8/30, 64, , 13
2022/8/31, 65, , 14
2022/9/1, 71, , 15
2022/9/2, 73, , 13
2022/9/3, 77, , 14
2022/9/4, 67, , 11
2022/9/5, 74, , 14
2022/9/6, 75, , 13
2022/9/7, 91, , 11
2022/9/8, 73, , 13
2022/9/9, 63, , 15
2022/9/10, 61, , 13
2022/9/11, 64, , 8
2022/9/12, 60, , 14
2022/9/13, 57, , 15
2022/9/14, 59, , 16
2022/9/15, 58, , 21
2022/9/16, 87, , 16
2022/9/17, 66, , 18
2022/9/18, 75, , 11
2022/9/19, 61, , 15
2022/9/20, 56, , 14
2022/9/21, 58, , 16
2022/9/22, 68, , 19
2022/9/23, 66, , 22
2022/9/24, 74, , 18
2022/9/25, 90, , 13
2022/9/26, 79, , 14
2022/9/27, 69, , 16
2022/9/28, 70, , 11
2022/9/29, 63, , 13
2022/9/30, 61, , 18
2022/10/1, 82, , 20
2022/4/2, 86, , 15
2022/4/3, 86, , 10
2022/4/4, 93, , 14
2022/4/5, 82, , 16
2022/4/6, 83, , 13
2022/4/7, 86, , 18
2022/4/8, 84, , 15
2022/4/9, 90, , 12
2022/4/10, 77, , 9
2022/4/11, 79, , 13
2022/4/12, 75, , 11
2022/4/13, 73, , 15
2022/4/14, 86, , 10
2022/4/15, 107, , 5
2022/4/16, 80, , 7
2022/4/17, 74, , 7
2022/4/18, 62, , 13
2022/4/19, 75, , 9
2022/4/20, 73, , 14
2022/4/21, 62, , 12
2022/4/22, 67, , 8
2022/4/23, 60, , 8
2022/4/24, 66, , 8
2022/4/25, 61, , 10
2022/4/26, 64, , 11
2022/4/27, 83, , 12
2022/4/28, 90, , 6
2022/4/29, 81, , 8
2022/4/30, 61, , 8
2022/5/1, 70, , 5
2022/5/2, 72, , 7
2022/5/3, 66, , 7
2022/5/4, 66, , 9
2022/5/5, 69, , 8
2022/5/6, 76, , 7
2022/5/7, 72, , 7
2022/5/8, 69, , 3
2022/5/9, 81, , 9
2022/5/10, 86, , 7
2022/5/11, 81, , 11
2022/5/12, 97, , 11
2022/5/13, 80, , 8
2022/5/14, 84, , 9
2022/5/15, 75, , 3
2022/5/16, 67, , 9
2022/5/17, 66, , 7
2022/5/18, 81, , 10
2022/5/19, 76, , 10
2022/5/20, 75, , 11
2022/5/21, 76, , 9
2022/5/22, 72, , 7
2022/5/23, 91, , 7
2022/5/24, 82, , 13
2022/5/25, 77, , 11
2022/5/26, 85, , 11
2022/5/27, 77, , 10
2022/5/28, 68, , 9
2022/5/29, 68, , 5
2022/5/30, 64, , 4
2022/5/31, 57, , 9
2022/6/1, 67, , 13
2022/6/2, 97, , 10
2022/6/3, 79, , 14
2022/6/4, 75, , 13
2022/6/5, 87, , 
2022/6/7, 82, , 14
2022/6/8, 97, , 13
2022/6/9, 87, , 15
2022/6/10, 90, , 15
2022/6/11, 89, , 11
2022/6/12, 75, , 6
2022/6/13, 66, , 10
2022/6/14, 59, , 6
2022/6/15, 61, , 1
2022/6/16, 77, , 3
2022/6/17, 85, , 1
2022/6/18, 77, , 1
2022/6/19, 92, , 
2022/6/20, 67, , 1
2022/6/21, 65, , 3
2022/6/22, 74, , 3
2022/6/23, 76, , 9
2022/6/24, 75, , 12
2022/6/25, 88, , 14
2022/6/26, 81, , 11
2022/6/27, 70, , 9
2022/6/28, 75, , 13
2022/6/29, 67, , 12
2022/6/30, 65, , 9
2022/7/1, 68, , 13
2022/1/4, 78, , 10
2022/1/5, 78, , 12
2022/1/6, 74, , 15
2022/1/7, 78, , 16
2022/1/8, 70, , 13
2022/1/9, 73, , 8
2022/1/10, 81, , 8
2022/1/11, 69, , 14
2022/1/12, 67, , 12
2022/1/13, 67, , 9
2022/1/14, 64, , 10
2022/1/15, 64, , 11
2022/1/16, 64, , 10
2022/1/17, 71, , 12
2022/1/18, 73, , 14
2022/1/19, 75, , 13
2022/1/20, 72, , 13
2022/1/21, 75, , 15
2022/1/22, 86, , 16
2022/1/23, 88, , 9
2022/1/24, 85, , 12
2022/1/25, 78, , 19
2022/1/26, 80, , 17
2022/1/27, 86, , 14
2022/1/28, 85, , 18
2022/1/29, 89, , 15
2022/1/30, 98, , 10
2022/1/31, 90, , 14
2022/2/1, 78, , 14
2022/2/2, 79, , 14
2022/2/3, 81, , 17
2022/2/4, 95, , 17
2022/2/5, 117, , 16
2022/2/6, 111, , 14
2022/2/7, 90, , 18
2022/2/8, 82, , 19
2022/2/9, 80, , 16
2022/2/10, 100, , 18
2022/2/11, 104, , 15
2022/2/12, 89, , 16
2022/2/13, 81, , 12
2022/2/14, 92, , 21
2022/2/15, 97, , 16
2022/2/16, 93, , 17
2022/2/17, 89, , 17
2022/2/18, 99, , 21
2022/2/19, 108, , 15
2022/2/20, 82, , 14
2022/2/21, 88, , 18
2022/2/22, 82, , 17
2022/2/23, 93, , 19
2022/2/24, 113, , 16
2022/2/25, 137, , 16
2022/2/26, 144, , 16
2022/2/27, 138, , 14
2022/2/28, 112, , 19
2022/3/1, 88, , 11
2022/3/2, 76, , 84
2022/3/3, 78, , 60
2022/3/4, 81, , 18
2022/3/5, 91, , 15
2022/3/6, 90, , 6
2022/3/7, 84, , 11
2022/3/8, 72, , 11
2022/3/9, 75, , 13
2022/3/10, 83, , 10
2022/3/11, 80, , 11
2022/3/12, 75, , 9
2022/3/13, 83, , 8
2022/3/14, 90, , 13
2022/3/15, 74, , 18
2022/3/16, 93, , 17
2022/3/17, 115, , 19
2022/3/18, 153, , 18
2022/3/19, 136, , 13
2022/3/20, 140, , 10
2022/3/21, 112, , 12
2022/3/22, 109, , 16
2022/3/23, 115, , 16
2022/3/24, 128, , 17
